ID,Timestamp,PID,PLAT,CTX,DESCRIPTION,TEXT EN,TEMP,INTENT,TRIGGERS,CAUS,ALGO_CAUSE,PB1,PB2,RESP_CONSEQ,FUTURE_USE,ARTIST_HARM
8,25/11/2025 22:10:04,6646052f36c0bd14aafa0f0f,Spotify,Ascolto passivo,"Stavo ascoltando passivamente una playlist. Dal momento in cui la playlist è finita, ho avuto una “riproduzione consigliata” di un brano che non aveva nulla a che vedere con ciò che stavo ascoltando","I was passively listening to a playlist. Once the playlist ended, I got a “recommended playback” of a track that had nothing to do with what I had been listening to.",POST,PASSIVE,TR3_Continuation,NO,2,Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo,"Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti, Il sistema sembrava ignorare scene musicali diverse o di nicchia a cui tengo.",NO,3,3
9,25/11/2025 22:12:57,6646052f36c0bd14aafa0f0f,Spotify,Stavo cercando qualcosa di specifico,"Stavo per cercare qualcosa su spotify. Successivamente, scendendo in basso, ho visto la sezione “stazioni consigliate” con in mezzo anche degli artisti che non ascolto.","I was about to search for something on Spotify. Then, scrolling down, I saw the “recommended stations” section, which also included artists I don't listen to.",PRE,ACTIVE,TR1_Presentation,NO,3,Ho percepito che artisti commerciali o di grandi etichette erano favoriti rispetto agli indipendenti,Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti,NO,3,3
10,25/11/2025 22:16:41,6646052f36c0bd14aafa0f0f,Spotify,Ascolto passivo,"Stavo scrollando su spotify, per cercare qualcosa di nuovo ma simile ai miei gusti. Tramite la funzione “scopri qualcosa di nuovo”, continuando a scrollare trovavo solo artisti famosi completamente lontani dal mio stile.","I was scrolling through Spotify, looking for something new but similar to my tastes. Using the “discover something new” feature, I kept scrolling but only found famous artists who were completely different from my style.",PRE,PASSIVE,TR1_Presentation,NO,2,"La piattaforma sembrava promuovere canzoni già virali o molto popolari, Il sistema continuava a mostrarmi artisti o brani simili risultando ripetitivo, Ho trovato difficile scoprire qualcosa di veramente nuovo o diverso, Ho percepito che artisti commerciali o di grandi etichette erano favoriti rispetto agli indipendenti","Ho trovato lo stesso contenuto “di tendenza” su diverse piattaforme, Le raccomandazioni non sembravano evolvere nemmeno dopo aver cambiato ciò che ascoltavo, Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti, Le raccomandazioni mi sono sembrate stereotipate o influenzate da bias, Il sistema sembrava ignorare scene musicali diverse o di nicchia a cui tengo.",NO,3,4
11,26/11/2025 12:43:13,6582f5dfb83c230e72711bbd,YouTube,Ascolto passivo,"Mi si era messo in autoplay ""Stereo Hearts"" di ""Gym Class Heroes"" (genere pop) e nei suggeriti c era Eminem e Kanye west che tral altro mi era spuntata la stessa canzone ovvero ""runaway"" anche nella canzone 7yearsold quindi sempre generi totalmente opposti","Autoplay started playing “Stereo Hearts” by Gym Class Heroes (pop), and in the suggested tracks there were Eminem and Kanye West. On top of that, the same song, “Runaway,” also appeared in the suggestions for “7 Years Old,” so again, completely opposite genres.",POST,PASSIVE,TR3_Continuation,NO,5,"Ho notato una sovrarappresentazione di artisti maschili o generi mainstream, Ho trovato difficile scoprire qualcosa di veramente nuovo o diverso, La piattaforma sembrava promuovere canzoni già virali o molto popolari, Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, Ho percepito che artisti commerciali o di grandi etichette erano favoriti rispetto agli indipendenti, Il sistema continuava a mostrarmi artisti o brani simili risultando ripetitivo","Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, Le raccomandazioni non sembravano evolvere nemmeno dopo aver cambiato ciò che ascoltavo, Ho trovato lo stesso contenuto “di tendenza” su diverse piattaforme, Le raccomandazioni mi sono sembrate stereotipate o influenzate da bias, Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti",NO,5,5
12,26/11/2025 12:46:32,6582f5dfb83c230e72711bbd,YouTube,Ascolto passivo,"Nell'auto play sta volta si è messa: ""counting stars"" di ""OneRepublic"" che è pop, e ha continuato a suggerire Eminem che è rap","This time, autoplay started with “Counting Stars” by OneRepublic, which is pop, and it kept suggesting Eminem, who is rap.",POST,PASSIVE,TR3_Continuation,NO,5,"Ho notato una sovrarappresentazione di artisti maschili o generi mainstream, Il sistema continuava a mostrarmi artisti o brani simili risultando ripetitivo, Ho percepito che artisti commerciali o di grandi etichette erano favoriti rispetto agli indipendenti, La piattaforma sembrava promuovere canzoni già virali o molto popolari, Ho trovato difficile scoprire qualcosa di veramente nuovo o diverso","Le raccomandazioni non sembravano evolvere nemmeno dopo aver cambiato ciò che ascoltavo, Ho trovato lo stesso contenuto “di tendenza” su diverse piattaforme, Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, Il sistema sembrava ignorare scene musicali diverse o di nicchia a cui tengo., Mi sono sentito “intrappolatə” in un loop di contenuti già familiari",NO,3,5
13,01/12/2025 08:18:26,60e5d3a91561c1746aa12a5e,Spotify,Ascolto passivo,"Ho finito di ascoltare un album e Spotify ha iniziato a consigliarmi brani simili. Tutti solo ed esclusivamente di artisti uomini, neanche una donna","I finished listening to an album, and Spotify started recommending similar tracks. All of them were by male artists, there wasn’t a single female artist.",POST,PASSIVE,TR3_Continuation,NO,4,"Ho notato una sovrarappresentazione di artisti maschili o generi mainstream, Ho visto pochissime artiste donne o artisti non occidentali essere consigliati","Mi sono sentito “intrappolatə” in un loop di contenuti già familiari, Le raccomandazioni mi sono sembrate stereotipate o influenzate da bias",NO,3,5
14,01/12/2025 10:19:32,5e68bd3b003be1000c6c4d25,Spotify,Ascolto passivo,Stavo ascoltando la discover weekly ed è partita I’m just Ken. Non mi è sembrata molto sensata in mezzo a quelle canzoni ma un modo per piazzare canzoni in trend anche se in questo caso un po’ passata,"I was listening to Discover Weekly, and “I’m Just Ken” started playing. It didn’t seem very fitting among those songs, but it felt like a way to feature trending tracks, even though in this case it’s a bit past its peak.",POST,PASSIVE,TR2_Collection,YES,4,"Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, La piattaforma sembrava promuovere canzoni già virali o molto popolari",Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti,NO,3,4
15,01/12/2025 11:01:19,67235c9d9d3b60d42012c74a,Spotify,Ascolto passivo,Spotify ripropone sempre lo stesso artista anche nei mix,Spotify always plays the same artist in its mixes too.,POST,PASSIVE,TR1_Presentation,NO,4,"La piattaforma sembrava promuovere canzoni già virali o molto popolari, Ho trovato difficile scoprire qualcosa di veramente nuovo o diverso, Il sistema continuava a mostrarmi artisti o brani simili risultando ripetitivo","Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, Il sistema sembrava ignorare scene musicali diverse o di nicchia a cui tengo., Mi sono sentito “intrappolatə” in un loop di contenuti già familiari",NO,3,3
16,01/12/2025 11:03:22,67235c9d9d3b60d42012c74a,Spotify,Ascolto passivo,Nel “discover weekly” Spotify mi propone musica e artisti sempre simili a se stessi,"In Discover Weekly, Spotify keeps suggesting music and artists that are always similar to each other.",POST,PASSIVE,TR2_Collection,NO,4,"Ho visto pochissime artiste donne o artisti non occidentali essere consigliati, Ho percepito che artisti commerciali o di grandi etichette erano favoriti rispetto agli indipendenti, Ho trovato difficile scoprire qualcosa di veramente nuovo o diverso, Ho notato una sovrarappresentazione di artisti maschili o generi mainstream","Il sistema sembrava ignorare scene musicali diverse o di nicchia a cui tengo., Le raccomandazioni non sembravano evolvere nemmeno dopo aver cambiato ciò che ascoltavo, Ho trovato lo stesso contenuto “di tendenza” su diverse piattaforme, Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti, Mi sono sentito “intrappolatə” in un loop di contenuti già familiari",NO,3,4
17,01/12/2025 11:06:00,67235c9d9d3b60d42012c74a,Spotify,Ascolto passivo,Spotify ha iniziato a riprodurre una canzone che ho skippato molte volte solo perché é popolare al momento,"Spotify started playing a song that I’ve skipped many times, just because it’s popular at the moment.",POST,PASSIVE,TR3_Continuation,YES,3,"Non ne sono sicurə ma ha catturato la mia attenzione per qualche motivo, La piattaforma sembrava promuovere canzoni già virali o molto popolari, Il sistema continuava a mostrarmi artisti o brani simili risultando ripetitivo","Sembrava che la raccomandazione fosse pensata per promuovere qualcosa piuttosto che adattarsi ai miei gusti, Ho trovato lo stesso contenuto “di tendenza” su diverse piattaforme, Le raccomandazioni non sembravano evolvere nemmeno dopo aver cambiato ciò che ascoltavo",NO,3,3
